req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
Chatting system should be available.,Support discussion forums will be there.,0.102,0.5,0,0.1,1.34,32,0.818,0,0.637,No
A forum will be there for discussion.,Support discussion forums will be there.,0.503,1,0,0.182,0.997,33,0.692,0.125,1.563,Yes
Automated progress tracking should be available.,Support discussion forums will be there.,0.092,1,0,0.091,1.348,35,0.833,0,0.705,No
Dashboard should contain link to monitor performances.,Support discussion forums will be there.,0,0,0,0,1.414,42,1,0,0,No
Provide dashboards to monitor performance.,A tracking system for student progress.,0,0,0,0,1.414,33,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",A tracking system for student progress.,0.082,0,0,0.071,1.355,63,0.865,0,0.96,No
Generate automatic feedback for exams.,A tracking system for student progress.,0.112,0,0,0.1,1.332,31,0.818,0,0.637,No
Chatting system should be available.,A tracking system for student progress.,0.112,0.25,0,0.1,1.332,25,0.818,0,0.637,Yes
A forum will be there for discussion.,A tracking system for student progress.,0.102,0,0,0.182,1.34,29,0.692,0,1.563,No
Automated progress tracking should be available.,A tracking system for student progress.,0.226,0.5,0,0.091,1.244,36,0.833,0,0.705,Yes
Dashboard should contain link to monitor performances.,A tracking system for student progress.,0,0,0,0,1.414,41,1,0,0,No
"Send timely notifications for upcoming assignments, assessments, and announcements.",Provide dashboards to monitor performance.,0,0,0,0,1.414,64,1,0,0,No
Generate automatic feedback for exams.,Provide dashboards to monitor performance.,0,0,0,0,1.414,34,1,0,0,No
Chatting system should be available.,Provide dashboards to monitor performance.,0,0,0,0,1.414,34,1,0,0,No
A forum will be there for discussion.,Provide dashboards to monitor performance.,0,0,0,0,1.414,35,1,0,0,No
Automated progress tracking should be available.,Provide dashboards to monitor performance.,0,0,0,0,1.414,35,1,0,0,No
Dashboard should contain link to monitor performances.,Provide dashboards to monitor performance.,0.206,0.5,0,0.2,1.26,25,0.664,0,1.033,Yes
Generate automatic feedback for exams.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0.082,0,0,0.077,1.355,63,0.854,0,1.008,No
Chatting system should be available.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0,0,0,0,1.414,68,1,0,0,No
A forum will be there for discussion.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0.074,0,0,0.067,1.361,67,0.874,0,1.15,No
Automated progress tracking should be available.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0,0,0,0,1.414,65,1,0,0,No
Dashboard should contain link to monitor performances.,"Send timely notifications for upcoming assignments, assessments, and announcements.",0,0,0,0,1.414,64,1,0,0,No
Chatting system should be available.,Generate automatic feedback for exams.,0,0,0,0,1.414,33,1,0,0,No
A forum will be there for discussion.,Generate automatic feedback for exams.,0.102,0,0,0.091,1.34,31,0.832,0,0.517,No
Automated progress tracking should be available.,Generate automatic feedback for exams.,0,0,0,0,1.414,37,1,0,0,No
Dashboard should contain link to monitor performances.,Generate automatic feedback for exams.,0,0,0,0,1.414,41,1,0,0,No
A forum will be there for discussion.,Chatting system should be available.,0.102,0.5,0,0.091,1.34,33,0.832,0,0.517,No
Automated progress tracking should be available.,Chatting system should be available.,0.381,1,0,0.375,1.113,22,0.453,0.167,1.37,No
Dashboard should contain link to monitor performances.,Chatting system should be available.,0.093,0,0,0.091,1.346,44,0.832,0,0.517,No
Automated progress tracking should be available.,A forum will be there for discussion.,0.092,1,0,0.083,1.348,38,0.846,0,0.867,No
Dashboard should contain link to monitor performances.,A forum will be there for discussion.,0,0,0,0,1.414,42,1,0,0,No
Dashboard should contain link to monitor performances.,Automated progress tracking should be available.,0.085,0,0,0.083,1.353,42,0.846,0,0.782,No
