req2_content,req1_content,cos,pos_overlap_ratio,opposite_overlap_count,jaccard,euclidean,levenshtein,jensen_shannon,ngram,bm25,decision
Integration with stock market data for real-time updates.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.047,0,0,0.048,1.38,85,0.907,0,1.49,No
"Features for budget creation, tracking expenses, and setting financial goals.","Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.093,0,0,0.091,1.346,79,0.832,0,3.243,No
Automated budget alerts and recommendations.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.14,0.125,0,0.118,1.311,77,0.774,0,2.657,No
Comprehensive reporting tools to generate financial statements and transaction history.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.147,0,0,0.091,1.306,84,0.832,0,3.243,No
Data analytics for personalized financial insights.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.059,0,0,0.053,1.372,85,0.895,0,1.376,No
Compliance with financial regulations and security standards.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.054,0,0,0.05,1.375,83,0.902,0,1.431,No
Regular updates to adapt to changing regulations.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.104,0,0,0.053,1.339,84,0.871,0,1.431,No
Tools to manage their investments.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.469,1,0,0.267,1.031,78,0.549,0.154,5.313,Yes
No integration with stock market data.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0,0,0,0,1.414,88,1,0,0,No
Automated budget alerts and recommendations.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.14,0.125,0,0.118,1.311,77,0.774,0,2.657,No
Generate financial statements and transaction history.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.059,0,0,0.053,1.372,86,0.895,0,1.376,No
Information to adapt to changing regulations.,"Tools for users to manage their investments, view portfolio performance, and receive investment recommendations.",0.112,0,0,0.056,1.332,83,0.864,0,1.376,No
"Features for budget creation, tracking expenses, and setting financial goals.",Integration with stock market data for real-time updates.,0.056,0,0,0.059,1.374,60,0.889,0,1.338,No
Automated budget alerts and recommendations.,Integration with stock market data for real-time updates.,0,0,0,0,1.414,39,1,0,0,No
Comprehensive reporting tools to generate financial statements and transaction history.,Integration with stock market data for real-time updates.,0,0,0,0,1.414,64,1,0,0,No
Data analytics for personalized financial insights.,Integration with stock market data for real-time updates.,0.16,0,0,0.077,1.296,44,0.856,0,0.984,No
Compliance with financial regulations and security standards.,Integration with stock market data for real-time updates.,0.068,0,0,0.071,1.365,43,0.867,0,1.062,No
Regular updates to adapt to changing regulations.,Integration with stock market data for real-time updates.,0.06,0.2,0,0,1.371,42,1,0,0,No
Tools to manage their investments.,Integration with stock market data for real-time updates.,0,0,0,0,1.414,40,1,0,0,No
No integration with stock market data.,Integration with stock market data for real-time updates.,0.527,0.6,0,0.273,0.973,26,0.569,0.25,2.951,Yes
Automated budget alerts and recommendations.,Integration with stock market data for real-time updates.,0,0,0,0,1.414,39,1,0,0,No
Generate financial statements and transaction history.,Integration with stock market data for real-time updates.,0,0,0,0,1.414,41,1,0,0,No
Information to adapt to changing regulations.,Integration with stock market data for real-time updates.,0,0,0,0,1.414,37,1,0,0,No
Automated budget alerts and recommendations.,"Features for budget creation, tracking expenses, and setting financial goals.",0.168,0.2,0,0.154,1.29,54,0.725,0,2.176,No
Comprehensive reporting tools to generate financial statements and transaction history.,"Features for budget creation, tracking expenses, and setting financial goals.",0.112,0.5,0,0.111,1.332,67,0.8,0,2.937,No
Data analytics for personalized financial insights.,"Features for budget creation, tracking expenses, and setting financial goals.",0.151,0.5,0,0.143,1.303,54,0.745,0,2.304,No
Compliance with financial regulations and security standards.,"Features for budget creation, tracking expenses, and setting financial goals.",0.138,1,0,0.133,1.313,57,0.763,0,2.445,Yes
Regular updates to adapt to changing regulations.,"Features for budget creation, tracking expenses, and setting financial goals.",0,0,0,0,1.414,56,1,0,0,No
Tools to manage their investments.,"Features for budget creation, tracking expenses, and setting financial goals.",0,0,0,0,1.414,60,1,0,0,No
No integration with stock market data.,"Features for budget creation, tracking expenses, and setting financial goals.",0,0,0,0,1.414,58,1,0,0,No
Automated budget alerts and recommendations.,"Features for budget creation, tracking expenses, and setting financial goals.",0.168,0.2,0,0.154,1.29,54,0.725,0,2.176,No
Generate financial statements and transaction history.,"Features for budget creation, tracking expenses, and setting financial goals.",0.151,1,0,0.143,1.303,55,0.745,0,2.304,No
Information to adapt to changing regulations.,"Features for budget creation, tracking expenses, and setting financial goals.",0,0,0,0,1.414,56,1,0,0,No
Comprehensive reporting tools to generate financial statements and transaction history.,Automated budget alerts and recommendations.,0.077,0,0,0.071,1.358,64,0.862,0,0.748,No
Data analytics for personalized financial insights.,Automated budget alerts and recommendations.,0,0,0,0,1.414,41,1,0,0,No
Compliance with financial regulations and security standards.,Automated budget alerts and recommendations.,0.093,0,0,0.091,1.346,43,0.832,0,0.517,No
Regular updates to adapt to changing regulations.,Automated budget alerts and recommendations.,0,0,0,0,1.414,34,1,0,0,No
Tools to manage their investments.,Automated budget alerts and recommendations.,0,0,0,0,1.414,30,1,0,0,No
No integration with stock market data.,Automated budget alerts and recommendations.,0,0,0,0,1.414,35,1,0,0,No
Automated budget alerts and recommendations.,Automated budget alerts and recommendations.,1,1,0,1,0,0,0,1,2.019,Yes
Generate financial statements and transaction history.,Automated budget alerts and recommendations.,0.102,0,0,0.1,1.34,37,0.818,0,0.457,No
Information to adapt to changing regulations.,Automated budget alerts and recommendations.,0,0,0,0,1.414,30,1,0,0,No
Data analytics for personalized financial insights.,Comprehensive reporting tools to generate financial statements and transaction history.,0.07,0.5,0,0.067,1.364,63,0.873,0,1.152,No
Compliance with financial regulations and security standards.,Comprehensive reporting tools to generate financial statements and transaction history.,0.138,0.5,0,0.133,1.313,58,0.763,0,2.445,Yes
Regular updates to adapt to changing regulations.,Comprehensive reporting tools to generate financial statements and transaction history.,0.124,0,0,0.067,1.324,64,0.841,0,1.222,No
Tools to manage their investments.,Comprehensive reporting tools to generate financial statements and transaction history.,0.168,0,0,0.071,1.29,66,0.862,0,1.088,No
No integration with stock market data.,Comprehensive reporting tools to generate financial statements and transaction history.,0,0,0,0,1.414,67,1,0,0,No
Automated budget alerts and recommendations.,Comprehensive reporting tools to generate financial statements and transaction history.,0.077,0,0,0.071,1.358,64,0.862,0,1.088,No
Generate financial statements and transaction history.,Comprehensive reporting tools to generate financial statements and transaction history.,0.657,0.6,0,0.455,0.828,34,0.364,0.333,5.759,Yes
Information to adapt to changing regulations.,Comprehensive reporting tools to generate financial statements and transaction history.,0.134,0,0,0.071,1.316,64,0.831,0,1.152,No
Compliance with financial regulations and security standards.,Data analytics for personalized financial insights.,0.085,0.5,0,0.083,1.353,47,0.846,0,0.782,Yes
Regular updates to adapt to changing regulations.,Data analytics for personalized financial insights.,0,0,0,0,1.414,41,1,0,0,No
Tools to manage their investments.,Data analytics for personalized financial insights.,0,0,0,0,1.414,37,1,0,0,No
No integration with stock market data.,Data analytics for personalized financial insights.,0.092,0,0,0,1.348,40,1,0,0,No
Automated budget alerts and recommendations.,Data analytics for personalized financial insights.,0,0,0,0,1.414,41,1,0,0,No
Generate financial statements and transaction history.,Data analytics for personalized financial insights.,0.092,0.5,0,0.091,1.348,41,0.833,0,0.705,No
Information to adapt to changing regulations.,Data analytics for personalized financial insights.,0,0,0,0,1.414,39,1,0,0,No
Regular updates to adapt to changing regulations.,Compliance with financial regulations and security standards.,0.068,0.25,0,0,1.365,46,1,0,0,No
Tools to manage their investments.,Compliance with financial regulations and security standards.,0,0,0,0,1.414,44,1,0,0,No
No integration with stock market data.,Compliance with financial regulations and security standards.,0.085,0,0,0.083,1.353,44,0.846,0,0.867,No
Automated budget alerts and recommendations.,Compliance with financial regulations and security standards.,0.093,0,0,0.091,1.346,43,0.832,0,0.794,No
Generate financial statements and transaction history.,Compliance with financial regulations and security standards.,0.184,1,0,0.182,1.277,38,0.692,0,1.733,No
Information to adapt to changing regulations.,Compliance with financial regulations and security standards.,0.072,0.25,0,0,1.362,45,1,0,0,No
Tools to manage their investments.,Regular updates to adapt to changing regulations.,0.18,0,0,0.1,1.281,34,0.763,0,0.794,No
No integration with stock market data.,Regular updates to adapt to changing regulations.,0,0,0,0,1.414,39,1,0,0,No
Automated budget alerts and recommendations.,Regular updates to adapt to changing regulations.,0,0,0,0,1.414,34,1,0,0,No
Generate financial statements and transaction history.,Regular updates to adapt to changing regulations.,0,0,0,0,1.414,41,1,0,0,No
Information to adapt to changing regulations.,Regular updates to adapt to changing regulations.,0.706,1,0,0.571,0.767,13,0.229,0.5,3.466,Yes
No integration with stock market data.,Tools to manage their investments.,0,0,0,0,1.414,29,1,0,0,No
Automated budget alerts and recommendations.,Tools to manage their investments.,0,0,0,0,1.414,30,1,0,0,No
Generate financial statements and transaction history.,Tools to manage their investments.,0,0,0,0,1.414,40,1,0,0,No
Information to adapt to changing regulations.,Tools to manage their investments.,0.194,0,0,0.111,1.269,31,0.745,0,0.457,No
Automated budget alerts and recommendations.,No integration with stock market data.,0,0,0,0,1.414,35,1,0,0,No
Generate financial statements and transaction history.,No integration with stock market data.,0,0,0,0,1.414,41,1,0,0,No
Information to adapt to changing regulations.,No integration with stock market data.,0,0,0,0,1.414,34,1,0,0,No
Generate financial statements and transaction history.,Automated budget alerts and recommendations.,0.102,0,0,0.1,1.34,37,0.818,0,0.457,No
Information to adapt to changing regulations.,Automated budget alerts and recommendations.,0,0,0,0,1.414,30,1,0,0,No
Information to adapt to changing regulations.,Generate financial statements and transaction history.,0,0,0,0,1.414,39,1,0,0,No
